Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Croci al cavo altezza spalle,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,,,,,,1,,,,,,,
Chest Press Stretta,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,0.5,,,,
Dip ,"fermo 1"" al parallelo; fermo 1"" poco sotto il parallo; fino sotto parallelo; deloading; overloading; salita 3""; discesa 3""; doppio fermo 2"" in discesa ",,F,Spinta orizzontale,,,0.5,,,,,1,,,1,,,,
Dip Assistite Elastico,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,1,,,,
Dip Assistite Piedi,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=OlbMBFhEXSU&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=18,A,Spinta orizzontale,,,0.5,,,,,1,,,1,,,,
Panca Piana Multipower,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Panca Inclinata Multipower,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.5,,,,,1,,,0.5,,,,
Piegamenti Assititi con elastico,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Piegamenti mani su rialzo,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=7PbWb6FFj7o&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=26,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Piegamenti,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",https://www.youtube.com/watch?v=FTE_OwNAGNQ&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=38,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
